split_idx,sentence_acc,dual_acc,delta_acc,sentence_auc,dual_auc,delta_auc,fusion_gate_mean,doc_attention_entropy_mean,doc_attention_max_mean,sentence_exp_dir,dual_exp_dir,dual_status
0,0.6878048777580261,0.7658536434173584,0.07804876565933228,0.7292993630573248,0.6906847133757962,-0.03861464968152861,0.06710406597249391,0.5605361088518618,0.7079651444423489,D:\Tasks\isbi_code\experiments\brca_text_mode_comparison_5splits_node_features\sentence_pt\split_0,D:\Tasks\isbi_code\experiments\brca_dual_text_10splits\split_0,trained
1,0.7658536434173584,0.7463414669036865,-0.019512176513671875,0.7707006369426752,0.7764065817409767,0.005705944798301443,0.467820525096684,0.43991697788153766,0.7764683880457064,D:\Tasks\isbi_code\experiments\brca_text_mode_comparison_5splits_node_features\sentence_pt\split_1,D:\Tasks\isbi_code\experiments\brca_dual_text_10splits\split_1,trained
2,0.7268292903900146,0.7365853786468506,0.009756088256835938,0.7169585987261147,0.6798036093418259,-0.03715498938428874,0.06536977246585415,0.6666385664884906,0.6378005591834464,D:\Tasks\isbi_code\experiments\brca_text_mode_comparison_5splits_node_features\sentence_pt\split_2,D:\Tasks\isbi_code\experiments\brca_dual_text_10splits\split_2,trained
3,0.785365879535675,0.785365879535675,0.0,0.7515923566878981,0.7718949044585987,0.020302547770700508,0.08873273235768443,0.5198744231113627,0.726596618134801,D:\Tasks\isbi_code\experiments\brca_text_mode_comparison_5splits_node_features\sentence_pt\split_3,D:\Tasks\isbi_code\experiments\brca_dual_text_10splits\split_3,trained
4,0.7268292903900146,0.5756097435951233,-0.15121954679489136,0.7533174097664543,0.7250530785562632,-0.028264331210191118,0.004132277083231091,0.6725075815594013,0.6313853231872001,D:\Tasks\isbi_code\experiments\brca_text_mode_comparison_5splits_node_features\sentence_pt\split_4,D:\Tasks\isbi_code\experiments\brca_dual_text_10splits\split_4,trained
5,0.7658536434173584,0.7658536434173584,0.0,0.6345541401273885,0.6556528662420382,0.02109872611464969,0.9477413215288302,0.85093754141893,0.47301826309867023,D:\Tasks\isbi_code\experiments\brca_text_mode_comparison_5splits_node_features\sentence_pt\split_5,D:\Tasks\isbi_code\experiments\brca_dual_text_10splits\split_5,trained
6,0.7707316875457764,0.7463414669036865,-0.024390220642089844,0.7868895966029723,0.7253184713375795,-0.06157112526539277,0.4431993128868138,0.28783055398588975,0.8588615651537732,D:\Tasks\isbi_code\experiments\brca_text_mode_comparison_5splits_node_features\sentence_pt\split_6,D:\Tasks\isbi_code\experiments\brca_dual_text_10splits\split_6,trained
7,0.785365879535675,0.7560975551605225,-0.029268324375152588,0.7545116772823779,0.7882165605095541,0.03370488322717624,0.78316256302159,0.30414162846685605,0.8472396769901601,D:\Tasks\isbi_code\experiments\brca_text_mode_comparison_5splits_node_features\sentence_pt\split_7,D:\Tasks\isbi_code\experiments\brca_dual_text_10splits\split_7,trained
8,0.7658536434173584,0.7219512462615967,-0.04390239715576172,0.7799893842887474,0.7608811040339702,-0.019108280254777177,0.5854715078887416,0.32981438443986955,0.8477114894041201,D:\Tasks\isbi_code\experiments\brca_text_mode_comparison_5splits_node_features\sentence_pt\split_8,D:\Tasks\isbi_code\experiments\brca_dual_text_10splits\split_8,trained
9,0.7804877758026123,0.7658536434173584,-0.014634132385253906,0.749203821656051,0.727176220806794,-0.022027600849257034,0.7374633344208322,0.8260922375298163,0.4874665939226383,D:\Tasks\isbi_code\experiments\brca_text_mode_comparison_5splits_node_features\sentence_pt\split_9,D:\Tasks\isbi_code\experiments\brca_dual_text_10splits\split_9,trained
